
霸王别姬,上映时间：1993-01-01(中国香港),9.6
肖申克的救赎,上映时间：1994-10-14(美国),9.5
罗马假日,上映时间：1953-09-02(美国),9.1
这个杀手不太冷,上映时间：1994-09-14(法国),9.5
教父,上映时间：1972-03-24(美国),9.3
泰坦尼克号,上映时间：1998-04-03,9.5
龙猫,上映时间：1988-04-16(日本),9.2
唐伯虎点秋香,上映时间：1993-07-01(中国香港),9.2
魂断蓝桥,上映时间：1940-05-17(美国),9.2
千与千寻,上映时间：2001-07-20(日本),9.3
乱世佳人,上映时间：1939-12-15(美国),9.1
喜剧之王,上映时间：1999-02-13(中国香港),9.2
天空之城,上映时间：1992,9.1
大闹天宫,上映时间：1965-12-31,9.0
辛德勒的名单,上映时间：1993-12-15(美国),9.2
音乐之声,上映时间：1965-03-02(美国),9.0
剪刀手爱德华,上映时间：1990-12-06(美国),8.8
春光乍泄,上映时间：1997-05-30(中国香港),9.2
美丽人生,上映时间：1997-12-20(意大利),9.3
黑客帝国,上映时间：2000-01-14,9.0
海上钢琴师,上映时间：1998-10-28(意大利),9.2
指环王3：王者无敌,上映时间：2004-03-15,9.2
加勒比海盗,上映时间：2003-11-21,8.9
哈利·波特与魔法石,上映时间：2002-01-26,9.1
射雕英雄传之东成西就,上映时间：1993-02-05(中国香港),8.9
无间道,上映时间：2003-09-05,9.1
楚门的世界,上映时间：1998-06-01(美国),8.9
指环王2：双塔奇兵,上映时间：2003-04-25,9.1
蝙蝠侠：黑暗骑士,上映时间：2008-07-18(美国),9.3
教父2,上映时间：1974-12-12(美国),9.0
活着,上映时间：1994-05-18(法国),9.0
天堂电影院,上映时间：1988-11-17(意大利),9.2
机器人总动员,上映时间：2008-06-27(美国),9.3
拯救大兵瑞恩,上映时间：1998-07-24(美国),8.9
忠犬八公的故事,上映时间：2010-03-12(英国),9.3
哈尔的移动城堡,上映时间：2004-11-20(日本),9.0
东邪西毒,上映时间：1994-09-17,8.9
盗梦空间,上映时间：2010-09-01,9.2
疯狂原始人,上映时间：2013-04-20,9.5
搏击俱乐部,上映时间：1999-10-15(美国),8.8
幽灵公主,上映时间：1997-07-12(日本),8.9
阿凡达,上映时间：2010-01-04,9.0
V字仇杀队,上映时间：2006-03-17(美国),8.8
风之谷,上映时间：1992,8.9
放牛班的春天,上映时间：2004-10-16,8.9
当幸福来敲门,上映时间：2008-01-17,8.9
速度与激情5,上映时间：2011-05-12,9.2
驯龙高手,上映时间：2010-05-14,9.0
十二怒汉,上映时间：1957-04-13(美国),9.1
黑客帝国3：矩阵革命,上映时间：2003-11-05,8.8
勇敢的心,上映时间：1995-05-24(美国),8.8
三傻大闹宝莱坞,上映时间：2011-12-08,9.1
断背山,上映时间：2006-01-13(美国),9.0
神偷奶爸,上映时间：2010-07-09(美国),9.0
飞屋环游记,上映时间：2009-08-04,8.9
闻香识女人,上映时间：1992-12-23(美国),8.8
少年派的奇幻漂流,上映时间：2012-11-22,9.1
飞越疯人院,上映时间：1975-11-19(美国),8.8
致命魔术,上映时间：2006-10-20(美国),8.8
怦然心动,上映时间：2010-08-06(美国),8.9
美国往事,上映时间：1984-02-17(美国),9.1
鬼子来了,上映时间：2000-05-12(法国戛纳),8.9
美丽心灵,上映时间：2001-12-21(美国),8.8
夜访吸血鬼,上映时间：1994-11-11(美国),8.8
大话西游之月光宝盒,上映时间：2014-10-24,9.6
蝙蝠侠：黑暗骑士崛起,上映时间：2012-08-27,8.9
无敌破坏王,上映时间：2012-11-06,9.0
钢琴家,上映时间：2002-09-25(法国),8.8
本杰明·巴顿奇事,上映时间：2008-12-25(美国),8.8
哈利·波特与死亡圣器（下）,上映时间：2011-08-04,9.0
倩女幽魂,上映时间：2011-04-30,9.1
新龙门客栈,上映时间：2012-02-24,8.8
甜蜜蜜,上映时间：2015-02-13,9.2
触不可及,上映时间：2011-11-02(法国),9.1
熔炉,上映时间：2011-09-22(韩国),8.8
初恋这件小事,上映时间：2012-06-05,8.8
大话西游之大圣娶亲,上映时间：2014-10-24,8.8
素媛,上映时间：2013-10-02(韩国),9.1
小鞋子,上映时间：1999-01-22(美国),9.1
萤火之森,上映时间：2011-09-17(日本),9.0
窃听风暴,上映时间：2006-03-23(德国),9.0
穿条纹睡衣的男孩,上映时间：2008-09-12(英国),9.0
时空恋旅人,上映时间：2013-09-04(英国),8.9
地球上的星星,上映时间：2007-12-21(印度),8.8
7号房的礼物,上映时间：2013-01-23(韩国),8.9
借东西的小人阿莉埃蒂,上映时间：2010-07-17(日本),8.8
海豚湾,上映时间：2009-07-31(美国),8.9
恐怖直播,上映时间：2013-07-31(韩国),8.8
忠犬八公物语,上映时间：1987-08-01(日本),9.0
上帝之城,上映时间：2002-08-30(巴西),8.9
辩护人,上映时间：2013-12-18(韩国),8.8
七武士,上映时间：1954-04-26(日本),9.1
一一,上映时间：2000-09-20(法国),8.9
完美的世界,上映时间：1993-11-24(美国),8.9
海洋,上映时间：2011-08-12,9.0
黄金三镖客,上映时间：1966-12-23(意大利),8.9
爱·回家,上映时间：2002-04-05(韩国),9.0
我爱你,上映时间：2011-02-17(韩国),9.0
迁徙的鸟,上映时间：2001-12-12(法国),9.1
英雄本色,上映时间：2017-11-17,9.2
